AVG_time,AVG,AVGSDI_time,AVGSDI,STD_time,STD,STDSDI_time,STDSDI,CNT_time,CNT,CNTSDI_time,CNTSDI,OUT_time,OUT,OUTSDI_time,OUTSDI
11/30/2021 00:37:30,NaN,11/30/2021 00:43:30,0.002,11/30/2021 00:43:30,NaN,11/30/2021 00:43:30,0.000,11/30/2021 00:43:30,0,11/30/2021 00:43:30,37,11/30/2021 00:43:30,0,11/30/2021 00:43:30,0
11/30/2021 00:43:30,NaN,11/30/2021 00:49:30,0.002,11/30/2021 00:49:30,NaN,11/30/2021 00:49:30,0.000,11/30/2021 00:49:30,0,11/30/2021 00:49:30,37,11/30/2021 00:49:30,0,11/30/2021 00:49:30,0
11/30/2021 00:49:30,NaN,11/30/2021 00:55:30,0.002,11/30/2021 00:55:30,NaN,11/30/2021 00:55:30,0.000,11/30/2021 00:55:30,0,11/30/2021 00:55:30,37,11/30/2021 00:55:30,0,11/30/2021 00:55:30,0
11/30/2021 00:55:30,NaN,11/30/2021 01:01:30,0.002,11/30/2021 01:01:30,NaN,11/30/2021 01:01:30,0.000,11/30/2021 01:01:30,0,11/30/2021 01:01:30,37,11/30/2021 01:01:30,0,11/30/2021 01:01:30,0
11/30/2021 01:01:30,NaN,11/30/2021 01:07:30,0.002,11/30/2021 01:07:30,NaN,11/30/2021 01:07:30,0.000,11/30/2021 01:07:30,0,11/30/2021 01:07:30,37,11/30/2021 01:07:30,0,11/30/2021 01:07:30,0
11/30/2021 01:07:30,NaN,11/30/2021 01:13:30,0.002,11/30/2021 01:13:30,NaN,11/30/2021 01:13:30,0.000,11/30/2021 01:13:30,0,11/30/2021 01:13:30,37,11/30/2021 01:13:30,0,11/30/2021 01:13:30,0
11/30/2021 01:13:30,NaN,11/30/2021 01:19:30,0.002,11/30/2021 01:19:30,NaN,11/30/2021 01:19:30,0.000,11/30/2021 01:19:30,0,11/30/2021 01:19:30,37,11/30/2021 01:19:30,0,11/30/2021 01:19:30,0
11/30/2021 01:19:30,NaN,11/30/2021 01:25:30,0.002,11/30/2021 01:25:30,NaN,11/30/2021 01:25:30,0.000,11/30/2021 01:25:30,0,11/30/2021 01:25:30,37,11/30/2021 01:25:30,0,11/30/2021 01:25:30,0
11/30/2021 01:25:30,NaN,11/30/2021 01:31:30,0.002,11/30/2021 01:31:30,NaN,11/30/2021 01:31:30,0.000,11/30/2021 01:31:30,0,11/30/2021 01:31:30,37,11/30/2021 01:31:30,0,11/30/2021 01:31:30,0
11/30/2021 01:31:30,NaN,11/30/2021 01:37:30,0.002,11/30/2021 01:37:30,NaN,11/30/2021 01:37:30,0.000,11/30/2021 01:37:30,0,11/30/2021 01:37:30,37,11/30/2021 01:37:30,0,11/30/2021 01:37:30,0
11/30/2021 01:37:30,NaN,11/30/2021 01:43:30,0.002,11/30/2021 01:43:30,NaN,11/30/2021 01:43:30,0.000,11/30/2021 01:43:30,0,11/30/2021 01:43:30,37,11/30/2021 01:43:30,0,11/30/2021 01:43:30,0
11/30/2021 01:43:30,NaN,11/30/2021 01:49:30,0.002,11/30/2021 01:49:30,NaN,11/30/2021 01:49:30,0.000,11/30/2021 01:49:30,0,11/30/2021 01:49:30,37,11/30/2021 01:49:30,0,11/30/2021 01:49:30,0
11/30/2021 01:49:30,NaN,11/30/2021 01:55:30,0.002,11/30/2021 01:55:30,NaN,11/30/2021 01:55:30,0.000,11/30/2021 01:55:30,0,11/30/2021 01:55:30,37,11/30/2021 01:55:30,0,11/30/2021 01:55:30,0
11/30/2021 01:55:30,NaN,11/30/2021 02:01:30,0.002,11/30/2021 02:01:30,NaN,11/30/2021 02:01:30,0.000,11/30/2021 02:01:30,0,11/30/2021 02:01:30,37,11/30/2021 02:01:30,0,11/30/2021 02:01:30,0
11/30/2021 02:01:30,NaN,11/30/2021 02:07:30,0.002,11/30/2021 02:07:30,NaN,11/30/2021 02:07:30,0.000,11/30/2021 02:07:30,0,11/30/2021 02:07:30,37,11/30/2021 02:07:30,0,11/30/2021 02:07:30,0
11/30/2021 02:07:30,NaN,11/30/2021 02:13:30,0.002,11/30/2021 02:13:30,NaN,11/30/2021 02:13:30,0.000,11/30/2021 02:13:30,0,11/30/2021 02:13:30,37,11/30/2021 02:13:30,0,11/30/2021 02:13:30,0
